本出版物,阐述,对抗全过程中在电磁频谱以及通过电磁频谱展开的军事行动,553,554
指挥官,做出,决策,714,629
指挥官,开展,行动,714,563
指挥官,产生,效果,714,715
指挥官,提供,决定性优势,714,716
适应性,_,和,717,56
灵活性,_,和,718,56
频谱行动的敏捷性,提供,和,719,56
电磁战斗序列,是,整个战斗序列的一个子集,720,721
身份,_,和,722,57
参数,_,和,723,57
架构,_,和,724,57
作用,_,和,725,57
部署,_,和,726,57
它,包括,和,560,57
部署,_,和,726,58
系统,_,和,621,58
应用,_,和,632,58
这,包括,和,672,58
接收机,_,和,709,59
发射机,_,和,647,59
电磁战斗序列,识别,和,720,59
区域,感,兴趣,727,728
系统,_,和,621,60
平台,_,和,618,60
其,建立,链接,729,730
范围,_,和,731,61
位置,_,和,732,61
电磁战斗序列,确定,和,720,61
信号,_,和,733,62
频谱,_,和,734,62
电磁战斗序列,表征,和,720,62
电磁战斗序列,确定,其在更大建制内战斗序列中的作用,720,735
发射机,_,和,647,63
接收机,_,和,709,63
联合电磁频谱作战,考虑,和,587,63
发射,_,和,604,64
攻击,_,和,598,64
感知,_,和,669,64
接收,_,和,603,64
通信,_,和,668,64
欺骗,_,和,736,64
电磁频谱中的军事行动,包括,和,737,64
电磁能,采用,信息编码,738,739
发射,_,和,604,65
接收,_,和,603,65
和,支持,各种活动,65,740
信令,_,和,741,66
利用,_,和,600,66
分发,_,和,742,66
导航,_,和,743,66
处理,_,和,744,66
链路,_,和,745,66
广播,_,和,746,66
能力,_,和,747,66
传输,_,和,748,66
授时,_,和,749,66
活动,_,和,750,66
授时,_,和,749,67
导航,_,和,743,67
信令,支持,和,741,67
传输,_,和,748,68
活动,_,和,750,68
广播,支持,和,746,68
搜集,_,和,751,69
感知,_,和,669,69
瞄准,_,和,752,69
定位,_,和,753,69
有源感知系统(如空对空雷达、地面雷达、激光目标指示器等),发射,电磁信号,754,755
有源感知系统(如空对空雷达、地面雷达、激光目标指示器等),测量,接收到的反射信号,754,756
有源感知系统(如空对空雷达、地面雷达、激光目标指示器等),提取,高保真信息,754,757
无源感知系统,截获,电磁信号,758,755
表征,_,和,759,70
识别,_,和,760,70
定位,_,和,753,70
瞄准,_,和,752,70
无源感知系统,支持,和,758,70
系统,瞄准,目标,621,761
毫米波,_,与,762,71
微波,_,与,612,71
干扰机,_,与,763,71
能力,_,与,747,71
致炫器,_,与,764,71
目标,受,高能电磁辐射攻击,761,765
定位,_,与,753,72
时间,_,与,622,72
在空域中的机动,需要,与,766,72
电磁频谱机动,考虑,电磁频谱工作参数(如频率、功率、调制等),767,768
电磁频谱机动,获得,对敌优势,767,769
电磁频谱优势,是,电磁频谱中的控制程度,596,770
敌方,实施,作战行动,637,771
电磁频谱优势,是,通过联合电磁频谱作战取得的,596,772
电磁频谱优势,是,在整个作战环境获取优势的关键使能因素,596,773
全世界范围内,存在,数以万计的用频系统,774,775
传感器,_,和,776,73
削弱,_,和,777,73
系统,_,和,621,73
欺骗,_,和,736,73
摧毁,_,和,778,73
扰乱,_,和,779,73
利用,_,和,600,73
探测,_,和,780,73
当前的电磁频谱威胁,包括,和,781,73
系统,_,和,621,74
传感器,_,和,776,74
定向能武器,实施,攻击,782,598
平台,_,和,618,75
指挥,_,和,783,75
人员,_,和,784,75
控制,_,和,785,75
设施,_,和,786,75
传感器,_,和,776,75
系统,威胁,电磁频谱,621,564
导航,_,和,743,76
利用,_,和,600,76
使用,_,和,787,76
支持,_,和,588,76
感知,_,和,669,76
敌方,寻求,和,637,76
导航,_,与,743,77
感知,_,与,669,77
敌方,使用,商用现货系统,637,788
敌方,提高,美国和多国规划人员确定目标的难度,637,789
美国,_,和,586,78
国,_,和,585,78
和,确定,目标,78,761
电磁能,_,和,738,79
攻击,_,和,598,79
能,_,和,790,79
使用,_,和,787,79
控制,_,和,785,79
电磁战,指,和,791,79
电磁能,_,和,738,80
定向能,_,和,792,80
军事行动,使用,和,602,80
军事行动,攻击,敌方,602,637
组成部分,_,和,793,81
攻击,_,和,598,81
支援,_,和,794,81
防护,_,和,599,81
电磁战,包括,和,791,81
电磁战,是,联合电磁频谱作战的一项关键职能,791,795
联合部队,取得,胜利,601,796
操作,_,和,797,82
管理,_,和,597,82
工程,_,和,798,82
联合,_,和,799,83
协调,_,和,800,83
方案,_,和,801,83
管理,_,和,597,83
功能,_,和,802,83
电磁频谱管理,包括,和,803,83
电磁频谱管理,是,联合电磁频谱作战的关键职能,803,804
联合部队,夺取,胜利,601,796
管理,_,和,597,84
利用,_,和,600,84
防护,_,和,599,84
攻击,_,和,598,84
太空,_,和,805,85
系统,_,和,621,85
管理,_,和,597,85
人员,_,和,784,85
空间,_,和,610,85
电磁战,_,和,791,85
情报,_,和,806,85
和,依靠,和,84,85
情报,_,和,806,86
电磁战,_,和,791,86
太空,_,和,805,86
空间,_,和,610,86
管理,_,和,597,86
系统,_,和,621,87
人员,_,和,784,87
和,来自,和,87,86
这些任务领域,进行,规划,807,808
指南,_,和,809,88
规程,_,和,810,88
整合,_,和,811,89
排序,_,和,812,89
冲突,_,和,813,89
同步,_,和,814,89
和,进行,和,88,89
规程,_,和,810,90
指南,_,和,809,90
和,增强,统一行动,90,815
这样做的结果,是,形成电磁作战环境机动的完全一体化的方案，以取得电磁频谱优势并达成联合部队指挥官目标,816,817
战役,_,或,583,91
战略,_,或,581,91
战术,_,或,582,91
利用,是,或,600,91
电磁频谱系统,涉及,能够感知电磁作战环境,818,819
感知,_,和,669,92
告警,_,和,820,92
搜集,_,和,751,92
瞄准,_,和,752,92
感知系统,支持,和,821,92
电磁频谱传感器,是,有源的(如空对空雷达、敌我识别应答器),822,823
电磁频谱传感器,是,无源的(如雷达告警接收机、无源雷达、红外武器导引头),822,824
信号情报,是,情报的一类,825,826
种,_,和,827,93
组合,_,和,828,93
情报,_,和,806,93
信号情报,是,和,825,93
信号情报,提供,表征电磁作战环境的基础,825,829
雷达,_,和,830,94
设备,_,和,704,94
无线电,_,和,831,94
系统,_,和,621,94
信号情报,包括,和,825,94
设备,_,和,704,95
雷达,_,和,830,95
系统,_,和,621,95
无线电,_,和,831,95
电子情报,是,信号情报的子类,832,833
技术,_,或,665,96
核爆炸,_,或,834,96
情报,_,或,806,96
核辐射源,_,或,835,96
电子情报,是,或,832,96
电磁支援,是,电磁战的组成部分,836,837
规避,_,或,838,97
寻,_,或,839,97
实施,_,或,840,97
行动,_,或,563,97
定位,_,或,753,97
威胁,_,或,841,97
截获,_,或,842,97
瞄准,_,或,752,97
规划,_,或,808,97
识别,_,或,760,97
无意,_,或,700,97
有意,_,或,699,97
搜索,_,或,843,97
电磁支援,包括,或,836,97
作战指挥官,指派,行动,844,563
无意,_,或,700,98
有意,_,或,699,98
无意,_,或,700,99
有意,_,或,699,99
无意,_,或,700,100
有意,_,或,699,100
有意,_,或,699,101
无意,_,或,700,101
地形,_,和,649,102
时间,_,和,622,102
威胁,_,和,841,102
环境,_,和,562,102
联合电磁频谱作战分队,降低,和,845,102
环境,_,与,562,103
地形,_,与,649,103
威胁,_,与,841,103
时间,_,与,622,103
不确定性,有关,与,846,103
攻击,_,或,598,104
测量,_,与,847,105
特征,_,与,848,105
情报,_,与,806,106
支援,_,与,794,106
支援,_,与,794,107
情报,_,与,806,107
装备,执行,电磁支援任务,703,849
装备,执行,情报任务,703,850
执行,_,与,851,108
负责,_,或,852,109
是,_,或,853,109
指派,_,或,854,109
提供,_,或,855,109
实施,_,或,840,109
与,在于,或,108,109
搜集,_,或,751,110
实施,_,或,840,110
指派,_,或,854,110
谁,负责,或,856,110
这些装备的任务,是,提供什么以及任务目的是什么,857,858
任务目的,是,什么,859,860
情报,_,和,806,111
支援,_,和,794,111
目的,_,和,861,112
内容,_,和,862,112
范围,_,和,731,112
和,是,和,111,112
作战指挥官,指派,任务,844,625
搜索,_,或,843,113
识别,_,或,760,113
定位,_,或,753,113
无意,_,或,700,113
截获,_,或,842,113
有意,_,或,699,113
作战指挥官指派给电磁支援装备的任务,是,或,863,113
有意,_,或,699,114
无意,_,或,700,114
来源,辐射,电磁能,864,738
局长,_,或,865,115
指挥官,_,或,714,115
者,_,或,866,115
者,_,或,866,116
局长,_,或,865,116
指挥官,_,或,714,116
或,负责,给信号情报资产分派任务,116,867
瞄准,_,及,752,117
识别,_,及,760,117
规避,_,及,838,117
作战,_,及,868,117
实施,_,及,840,117
支持,_,及,588,117
制导,_,及,869,117
电磁支援的目的,是,及,870,117
制导,_,及,869,118
作战,_,及,868,118
活动,_,及,750,118
瞄准,_,及,752,118
规避,_,及,838,118
支援,_,和,794,119
行动,_,和,563,119
相似,_,或,871,120
资源,_,或,872,120
相同,_,或,688,120
资产,_,或,873,120
和,共享,或,119,120
资源,_,和,872,121
资产,_,和,873,121
资源,_,和,872,122
资产,_,和,873,122
行动,_,和,563,123
支援,_,和,794,123
和,搜集,满足两方面需求的情报,123,874
情报,满足,两方面需求,806,875
这,是,为用于情报所搜集的数据不能满足即时的作战需求,672,876
由情报领域适当部门,处理,用于电磁支援目的而搜集的信息,877,878
从电磁频谱中收集到的信息,有,“双重用途”,879,880
作战部队,使用,未经处理的信息,881,882
未经处理的信息,维持,态势感知,882,883
第二,是,信号情报,884,825
保存,_,和,885,124
处理,_,和,744,124
由相应的情报机构,进行,和,886,124
电磁攻击,是,电磁战的组成部分,887,837
攻击,_,或,598,125
使用,_,或,787,125
能,_,或,790,125
设施,_,或,786,125
设备,_,或,704,125
人员,_,或,784,125
武器,_,或,707,125
电磁攻击,包括,或,887,125
武器,_,或,707,126
定向能,_,或,792,126
反辐射,_,或,888,127
定向能,_,或,792,127
人员,_,或,784,128
设施,_,或,786,128
设备,_,或,704,128
压制,_,或,889,129
摧毁,_,或,778,129
削弱,_,或,777,129
其目的,是,或,890,129
干扰,_,和,891,130
入侵,_,和,892,130
典型的电磁攻击能力,包括,和,893,130
欺骗,_,或,736,131
注入,_,或,894,131
迷惑,_,或,895,131
电磁入侵,包括,或,896,131
电磁攻击,是,有源的(即辐射),887,897
电磁攻击,是,无源的(即非辐射/转发),887,898
致命性,_,和,899,132
非致命性,_,和,900,132
非致命性,_,和,900,133
致命性,_,和,899,133
武器,_,和,707,134
光电,_,和,901,134
微波,_,和,612,134
射频,_,和,902,134
激光,_,和,903,134
红外,_,和,904,134
和,包括,和,133,134
武器,使用,电磁脉冲,707,905
箔条,_,和,906,135
角反射器,_,和,907,135
无源电磁攻击系统的例子,包括,和,908,135
联合电磁频谱作战规划人员,使用,联合部队指挥官的指导,909,910
联合电磁频谱作战规划人员,整合,电磁攻击,909,887
联合电磁频谱作战规划人员,协调,作战效果,909,911
联合电磁频谱作战规划人员,结合,风险释放技术,909,912
联合电磁频谱作战规划人员,减少,附带损伤,909,913
这些活动,进行,压制,914,889
部队,_,或,559,136
设施,_,或,786,136
进行,_,或,592,136
扰乱,_,或,779,136
使,_,或,915,136
系统,_,或,621,136
装备,_,或,703,136
破坏,_,或,916,136
使用,_,或,787,136
压制,_,或,889,136
指挥,_,或,783,136
卫星,_,或,917,136
人员,_,或,784,136
传感器,_,或,776,136
雷达,_,或,830,136
摧毁,_,或,778,136
侦察,_,或,918,136
控制,_,或,785,136
监视,_,或,919,136
应用范例,包括,或,920,136
人员,_,或,784,137
设施,_,或,786,137
装备,_,或,703,137
人员,_,或,784,138
设施,_,或,786,138
装备,_,或,703,138
部队,_,或,559,139
装备,_,或,703,139
传感器,_,或,776,140
装备,_,或,703,140
卫星,_,或,917,140
部队,_,或,559,140
触发,_,和,921,141
寻,_,和,839,141
瞄准,_,和,752,141
防御性电磁攻击,描述,和,922,141
敌方,使用,电磁频谱,637,564
敌方,触发,武器,637,707
己方,免,威胁,638,841
己方,受,威胁,638,841
防护,_,或,599,142
自卫,_,或,923,142
攻击,_,和,598,143
防护,_,和,599,143
人员,_,和,784,144
装备,_,和,703,144
设施,_,和,786,144
能力,_,和,747,144
设施,_,和,786,145
EMI,_,和,924,145
干扰,_,和,891,145
攻击,_,和,598,145
能力,_,和,747,145
人员,_,和,784,145
装备,_,和,703,145
电磁防护,是,和,925,145
人员,_,和,784,146
设施,_,和,786,146
装备,_,和,703,146
能力,_,和,747,146
设施,_,和,786,147
装备,_,和,703,147
人员,_,和,784,147
能力,_,和,747,147
攻击,_,或,598,148
干扰,_,或,891,148
和,受,或,147,148
触发,_,和,921,149
使用,_,和,787,149
瞄准,_,和,752,149
寻,_,和,839,149
防御性电磁攻击,是,和,922,149
敌方,使用,电磁频谱,637,564
敌方,触发,武器,637,707
联合部队,依赖,对电磁作战环境的利用,601,926
对手,_,和,636,150
自己方,_,和,927,150
敌方,_,和,637,150
中立方,_,和,639,150
联合电磁频谱作战,降,和,587,150
联合电磁频谱作战,实现,必须的电磁频谱接入,587,928
电磁战,_,和,791,151
管理,_,和,597,151
防护,_,和,599,151
联合电磁频谱作战,整合,和,587,151
联合电磁频谱作战,使,联合部队的用频系统,587,929
电磁防护,是,电磁战的组成,925,930
中立方,_,和,639,152
现象,_,和,931,152
发生,_,和,932,152
摧毁,_,和,778,152
敌方,_,和,637,152
己方,_,和,638,152
人员,_,和,784,152
装备,_,和,703,152
保护,_,和,933,152
导致,_,和,934,152
对手,_,和,636,152
频谱,_,和,734,152
压制,_,和,889,152
削弱,_,和,777,152
设施,_,和,786,152
电磁防护,包括,和,925,152
设施,_,和,786,153
装备,_,和,703,153
人员,_,和,784,153
己方,_,或,638,154
发生,_,或,932,154
中立方,_,或,639,154
对手,_,或,636,154
使用,_,或,787,154
敌方,_,或,637,154
设施,_,和,786,155
装备,_,和,703,155
人员,_,和,784,155
敌方,_,或,637,156
己方,_,或,638,156
中立方,_,或,639,156
对手,_,或,636,156
或,使用,电磁频谱,156,564
敌方,_,或,637,157
中立方,_,或,639,157
对手,_,或,636,157
己方,_,或,638,157
现象的影响,发生,或,935,157
削弱,_,或,777,158
压制,_,或,889,158
摧毁,_,或,778,158
压制,_,或,889,159
摧毁,_,或,778,159
削弱,_,或,777,159
己方战斗能力,受到,或,936,159
流程,_,或,937,160
减少,_,或,938,160
属性,_,或,939,160
干扰,_,或,891,160
消除,_,或,591,160
能力,_,或,747,160
EMI,_,或,924,160
电磁防护重点,在于,或,940,160
系统,_,或,621,161
能力,_,或,747,161
流程,_,或,937,161
属性,_,或,939,161
或,消除,电磁干扰(EMI)影响,161,941
能力,_,或,747,162
属性,_,或,939,162
系统,_,或,621,162
流程,_,或,937,162
或,减少,电磁干扰(EMI)影响,162,941
流程,_,和,937,163
方法,_,和,942,163
硬件,_,和,943,163
程序,_,和,944,163
程序,_,和,944,164
硬件,_,和,943,164
流程,_,和,937,164
方法,_,和,942,164
和,使,己方的各项功能,164,945
己方的各项功能,发挥,其既定功能,945,946
装备,_,和,703,165
设施,_,和,786,165
人员,_,和,784,165
和,发射,电磁能,165,738
人员,_,和,784,166
设施,_,和,786,166
装备,_,和,703,166
和,反射,电磁能,166,738
搜集,_,和,751,167
磁,_,和,947,167
有,_,和,948,167
利用,_,和,600,167
识别,_,和,760,167
射频,_,和,902,167
光,_,和,949,167
热,_,和,950,167
这些电磁能,具有,和,951,167
信号特征,有,特点,952,953
技术,_,和,665,168
可观测性,_,和,954,168
和,提高,光电/红外对抗的效能,168,955
人员,_,和,784,169
设施,_,和,786,169
装备,_,和,703,169
设施,_,和,786,170
装备,_,和,703,170
人员,_,和,784,170
和,受,电磁能不良效果影响,170,956
电磁加固,是,一项应对电磁攻击(如激光、高功率微波、电磁脉冲)效应的电磁防护活动,957,958
电磁防护活动,应对,电磁攻击(如激光、高功率微波、电磁脉冲)效应,959,960
传感器,_,和,776,171
规程,_,和,810,171
特征,_,和,848,171
设备,_,和,704,171
武器,_,和,707,171
系统,_,和,621,171
战时保留模式,是,和,961,171
特征,_,和,848,172
规程,_,和,810,172
敌方指挥官,知道,和,962,172
有关电磁频谱协调措施更多的信息,参阅,附录F“电磁频谱协调措施”,963,964
截获,_,和,842,173
研究,_,和,965,173
如,_,和,966,173
电磁安全,指,和,967,173
非授权人员,研究,非通信电磁辐射(如雷达),968,969
非授权人员,获取,有价值信息,968,970
联合部队在电磁频谱中的所有行动,进行,管理,971,597
联合部队,保持,行动一致,601,972
造成,_,和,973,174
使,_,和,915,174
遭受,_,和,974,174
能力,_,和,747,174
系统,_,和,621,174
电磁频谱管理的目标,是,和,975,174
能力,_,和,747,175
系统,_,和,621,175
系统,_,和,621,176
能力,_,和,747,176
和,依靠,电磁频谱,176,564
系统,_,和,621,177
能力,_,和,747,177
和,完成,设计的功能,177,976
电磁频谱管理,提供,架构,803,724
电磁频谱管理,类似,空战中的空域管理,803,977
评估,_,和,978,178
指导,_,和,979,178
规划,_,和,808,178
监控,_,和,980,178
电磁战斗管理,包括,和,981,178
电磁战斗管理,支持,指挥官的目标,981,982
它,进行,协调指导,560,983
它,使,己方电磁频谱作战行动,560,984
电磁战斗管理,是,指挥官对形成作战环境的所有行动进行告知的一种机制,981,985
指挥官,进行,告知,714,986
软件,_,所,987,179
人员,_,所,784,179
程序,_,所,944,179
通信,_,所,668,179
装备,_,所,703,179
设施,_,所,786,179
指挥官,规划,所,714,179
通信,_,所,668,180
软件,_,所,987,180
设施,_,所,786,180
装备,_,所,703,180
人员,_,所,784,180
程序,_,所,944,180
指挥官,指挥,所,714,180
设施,_,所,786,181
装备,_,所,703,181
程序,_,所,944,181
软件,_,所,987,181
通信,_,所,668,181
人员,_,所,784,181
指挥官,控制,所,714,181
设施,_,和,786,182
人员,_,和,784,182
软件,_,和,987,182
程序,_,和,944,182
通信,_,和,668,182
装备,_,和,703,182
电磁频谱中的行动,必需,和,988,182
指挥,_,和,783,183
控制,_,和,785,183
规划,_,和,808,183
人员,_,和,784,184
设施,_,和,786,184
软件,_,和,987,184
通信,_,和,668,184
程序,_,和,944,184
装备,_,和,703,184
和,组成,和,184,183
指挥,_,和,783,185
支持,_,和,588,185
控制,_,和,785,185
感知,_,和,669,185
电磁战斗管理,提供,和,981,185
能力,_,与,747,186
发布,_,与,989,186
协调,_,与,800,186
系统,_,与,621,186
分配,_,与,990,186
分析,_,与,991,186
指定,_,与,992,186
申请,_,与,993,186
频率管理,包括,与,994,186
系统,_,与,621,187
能力,_,与,747,187
与,依赖,电磁频谱,187,564
非电磁攻击的电磁发射,分配,频率,995,606
说明,_,与,996,188
措施,_,与,997,188
频率管理,是,与,994,188
说明,_,与,996,189
措施,_,与,997,189
频率管理,包括,频谱分析、工程、评估用频系统并根据需求开发例如联合限制频率清单、联合通信—电子操作说明等电磁频谱产品,994,998
频率管理,开发,例如联合限制频率清单、联合通信—电子操作说明等电磁频谱产品,994,999
传感器,_,和,776,190
雷达,_,和,830,190
系统,_,和,621,190
信息,_,和,1000,190
通信,_,和,668,190
数据链,_,和,1001,190
无线电,_,和,831,190
频率管理的例子,包括,和,1002,190
与国家,进行,协调,1003,800
系统,使用,会从其他感兴趣区域跨越边界进行辐射,621,1004
系统,跨越,边界,621,1005
系统,进行,辐射,621,613
授权批准在一国内发射电磁能,是,一项主权权利,1006,1007
所在国,_,与,1008,191
司令部,_,与,555,191
与,确定,程序,191,944
所在国协调,完成,所在国协调,1009,1009
指挥官,_,和,714,192
参谋,_,和,1010,192
法律,_,或,674,193
法规,_,或,675,193
条约,_,或,673,193
和,清楚,或,192,193
条约,_,或,673,194
法规,_,或,675,194
法律,_,或,674,194
在所在国未经授权使用电磁频谱,违反,或,1011,194
指挥官,_,及其,714,195
参谋,_,及其,1010,195
法律顾问,帮助,及其,1012,195
指挥官,_,及其,714,196
参谋,_,及其,1010,196
法规,_,和,675,197
法律,_,和,674,197
条约,_,和,673,197
及其,了解,和,196,197
法规,_,和,675,198
条约,_,和,673,198
法律,_,和,674,198
拥塞,_,和,1013,199
对抗,_,和,1014,199
和,使,在电磁作战环境中,199,1015
来源,_,或,864,200
原因,_,或,1016,200
诊断,_,和,1017,201
报告,_,和,1018,201
消除,_,或,591,202
报告,_,或,1018,202
解决,_,或,1019,202
作战司令部,确保,或,1020,202
电磁干扰,是,有意的,1021,1022
辐射,_,或,613,203
谐波,_,或,1023,203
管理,_,或,597,203
产物,_,或,1024,203
操作,_,或,797,203
电磁干扰,是,或,1021,203
辐射,_,或,613,204
管理,_,或,597,204
产物,_,或,1024,204
操作,_,或,797,204
谐波,_,或,1023,204
程序,_,以及,944,205
手册,_,以及,1025,205
方案,_,以及,801,205
有关联合频谱干扰解决方案更多的信息,参阅,以及,1026,205
任务领域,相关,与联合电磁频谱作战,1027,1028
频谱,_,和,734,206
空间,_,和,610,206
多数军事系统,包含,和,1029,206
空间,_,和,610,207
电磁,_,和,1030,207
